id,title,description,availability,condition,price,link,image_link,brand,product_type,custom_label_0,custom_label_1,custom_label_2
"CORD2","Goggles Cord","Eye & Face Protection supplied by Xpertone Creative in Dubai and across the UAE. SKU: CORD2. Unit: Pcs.","in stock","new","1.00 AED","https://www.xpertonecreative.com/products/goggles-cord-1/","https://www.xpertonecreative.com/assets/img/products/eye-face-protection/CORD2.png","Xpertone Creative","Eye & Face Protection > Eyewear Accessories","Eye & Face Protection","Eyewear Accessories","Pcs"
"THB","Honeywell, A700 Safety Spectacle, Dark Lens, Part No: 1015362","A700 Gray Frame TSR Gray Hard Coat from Honeywell is ideal for those who wish to protect their eyes and face. Its single-lens design is stylish and offers optimum protection. People working in building & construction, food industries, logistics, maintenance, transportation and more can easily sport it at work. It is well suited for indoor wear and outdoor applications as well. SKU: THB. Unit: Pcs.","in stock","new","11.00 AED","https://www.xpertonecreative.com/products/honeywell-a700-safety-spectacle-dark-lens-part-no-1015362/","https://www.xpertonecreative.com/assets/img/products/eye-face-protection/THB.png","Xpertone Creative","Eye & Face Protection > Safety Spectacles","Eye & Face Protection","Safety Spectacles","Pcs"
"KMS","Honeywell, XV100 Safety Spectacle, Dark Lens, Part No: 1029692","XV101 Gray Frosted Frame Gray Lens with anti-scratch coating from a well-known brand, Honeywell is chic and classy. The product features a polycarbonate lens & frame offering great peripheral vision and protection. The lens is impact resistant and comes with a moulded, universal nosepiece for easy fit. Its thin and lightweight design makes it comfortable to wear all day long. SKU: KMS. Unit: Pcs.","in stock","new","8.00 AED","https://www.xpertonecreative.com/products/honeywell-xv100-safety-spectacle-dark-lens-part-no-1029692/","https://www.xpertonecreative.com/assets/img/products/eye-face-protection/KMS.png","Xpertone Creative","Eye & Face Protection > Safety Spectacles","Eye & Face Protection","Safety Spectacles","Pcs"
"CGO","Safety Goggles with Anti Scratch and Anti Fog Coating","The CGO Safety Goggles are a form of protective eyewear that usually enclose or protect the surrounding area of the eye to prevent any particulates, water or chemicals from striking the eyes. They are often used in snow sports and in swimming. The impact resistant polycarbonate lens coating makes for an ideal lens for the time spent outdoors. SKU: CGO. Unit: Pcs.","in stock","new","2.00 AED","https://www.xpertonecreative.com/products/safety-goggles-with-anti-scratch-and-anti-fog-coating/","https://www.xpertonecreative.com/assets/img/products/eye-face-protection/CGO.png","Xpertone Creative","Eye & Face Protection > Safety Goggles","Eye & Face Protection","Safety Goggles","Pcs"
"KPB","Safety Spectacle, Part No: V90","KPB Safety Spectacles are manufactured under EN166F / ANSI Z87.1. It gives all kinds of eye protection and the safety equipment resembles normal eyewear. They come with side shields to reduce the ability for the debris to enter the eye from anywhere. The spectacular design with integrated nose bridge & highly flexible single lens gives the wearer extreme comfort. SKU: KPB. Unit: Pcs.","in stock","new","4.00 AED","https://www.xpertonecreative.com/products/vaultex-safety-spectacle-part-no-v90/","https://www.xpertonecreative.com/assets/img/products/eye-face-protection/KPB.png","Xpertone Creative","Eye & Face Protection > Safety Spectacles","Eye & Face Protection","Safety Spectacles","Pcs"
"V351","Vaultex, Safety Goggles","V351 Safety Goggles provide 360 degree protection from flying objects that can be an occupational hazard for the workers. They have a tight fitting design with the strap to ensure complete protection from outside dangers. It protects from coarse dust and can be easily combined with helmets & respirators SKU: V351. Unit: Pcs.","in stock","new","3.00 AED","https://www.xpertonecreative.com/products/vaultex-safety-goggles/","https://www.xpertonecreative.com/assets/img/products/eye-face-protection/V351.png","Xpertone Creative","Eye & Face Protection > Safety Goggles","Eye & Face Protection","Safety Goggles","Pcs"
"CHR","Vaultex, Safety Goggles with Anti Scratch & Anti Fog Coating, Part No: HYG02-1A","The CHR Safety Goggles with PVC frame have clear impact resistant polycarbonate lenses that are preferred over glass lenses by eyewear users, sportsmen and other eye protector users since its lightweight, UV and impact resistance properties. It protects From Coarse Dust And Can Be Easily Combined With Helmets And Respirators. SKU: CHR. Unit: Pcs.","in stock","new","2.00 AED","https://www.xpertonecreative.com/products/vaultex-safety-goggles-with-anti-scratch-anti-fog-coating-part-no-hyg02-1a/","https://www.xpertonecreative.com/assets/img/products/eye-face-protection/CHR.png","Xpertone Creative","Eye & Face Protection > Safety Goggles","Eye & Face Protection","Safety Goggles","Pcs"
"B661","Vaultex, Safety Spectacle","Eye & Face Protection supplied by Xpertone Creative in Dubai and across the UAE. SKU: B661. Unit: Pcs.","in stock","new","3.00 AED","https://www.xpertonecreative.com/products/vaultex-safety-spectacle-7/","https://www.xpertonecreative.com/assets/img/products/eye-face-protection/B661.png","Xpertone Creative","Eye & Face Protection > Safety Spectacles","Eye & Face Protection","Safety Spectacles","Pcs"
"B671","Vaultex, Safety Spectacle","Eye & Face Protection supplied by Xpertone Creative in Dubai and across the UAE. SKU: B671. Unit: Pcs.","in stock","new","3.00 AED","https://www.xpertonecreative.com/products/vaultex-safety-spectacle-8/","https://www.xpertonecreative.com/assets/img/products/eye-face-protection/B671.png","Xpertone Creative","Eye & Face Protection > Safety Spectacles","Eye & Face Protection","Safety Spectacles","Pcs"
"M091","Vaultex, Safety Spectacle Part No: M091","Vaultex M091 is a safety spectacle manufactured in accordance with EN166F / ANSI Z87.1 standards for Eye protection. The M091 eyewear is created with an impact-resistant polycarbonate lens with 99.9% UV protection that blocks out harmful rays that could damage your eyesight.The innovative design incorporates a coloured lens with soft red tips associated with crystal temple and an integrated nose bridge offering Flexibility & durability. The unique feature of M091 is the foam gasket seal which provides protection from dust, airborne article & Irritants. SKU: M091. Unit: Pcs.","in stock","new","8.00 AED","https://www.xpertonecreative.com/products/vaultex-safety-spectacle-part-no-m091/","https://www.xpertonecreative.com/assets/img/products/eye-face-protection/M091.png","Xpertone Creative","Eye & Face Protection > Safety Spectacles","Eye & Face Protection","Safety Spectacles","Pcs"
"V771","Vaultex, Safety Spectacle with Anit Scratch Coating","Eye & Face Protection supplied by Xpertone Creative in Dubai and across the UAE. SKU: V771. Unit: Pcs.","in stock","new","3.00 AED","https://www.xpertonecreative.com/products/vaultex-safety-spectacle-with-anit-scratch-coating/","https://www.xpertonecreative.com/assets/img/products/eye-face-protection/V771.png","Xpertone Creative","Eye & Face Protection > Specialty Lens Eyewear","Eye & Face Protection","Specialty Lens Eyewear","Pcs"
"V100","Vaultex, Safety Spectacle with Anti Fog Coating, Part No: 30010","Eye & Face Protection supplied by Xpertone Creative in Dubai and across the UAE. SKU: V100. Unit: Pcs.","in stock","new","14.00 AED","https://www.xpertonecreative.com/products/vaultex-safety-spectacle-with-anti-fog-coating-part-no-30010/","https://www.xpertonecreative.com/assets/img/products/clean-reference/eye-face-protection/V100.webp?v=20260916exact","Xpertone Creative","Eye & Face Protection > Anti-Fog Safety Spectacles","Eye & Face Protection","Anti-Fog Safety Spectacles","Pcs"
